Year,Month,State,Suicides,Suicides with guns,Fraction of suicides with guns
2019,2,Alabama,79,55,0.6962025316
2019,3,Alabama,73,53,0.7260273973
2019,4,Alabama,65,42,0.6461538462
2019,5,Alabama,66,46,0.696969697
2019,6,Alabama,60,35,0.5833333333
2019,7,Alabama,72,54,0.75
2019,8,Alabama,67,42,0.6268656716
2019,9,Alabama,76,52,0.6842105263
2019,10,Alabama,69,47,0.6811594203
2019,11,Alabama,56,35,0.625
2019,12,Alabama,56,39,0.6964285714
1999,1,Alaska,10,5,0.5
1999,2,Alaska,14,9,0.6428571429
1999,3,Alaska,10,7,0.7
1999,4,Alaska,5,2,0.4
1999,5,Alaska,6,3,0.5
1999,6,Alaska,4,3,0.75
1999,7,Alaska,15,5,0.3333333333
1999,8,Alaska,8,5,0.625
1999,9,Alaska,10,7,0.7
1999,10,Alaska,6,4,0.6666666667
1999,11,Alaska,5,4,0.8
1999,12,Alaska,3,1,0.3333333333
2000,1,Alaska,21,14,0.6666666667
2000,2,Alaska,6,4,0.6666666667
2000,3,Alaska,6,5,0.8333333333
2000,4,Alaska,10,8,0.8
2000,5,Alaska,14,9,0.6428571429
2000,6,Alaska,14,11,0.7857142857
2000,7,Alaska,10,7,0.7
2000,8,Alaska,12,10,0.8333333333
2000,9,Alaska,9,5,0.5555555556
2000,10,Alaska,11,7,0.6363636364
2000,11,Alaska,11,8,0.7272727273
2000,12,Alaska,13,8,0.6153846154
2001,1,Alaska,5,4,0.8
2001,2,Alaska,8,7,0.875
2001,3,Alaska,8,6,0.75
2001,4,Alaska,8,5,0.625
2001,5,Alaska,15,7,0.4666666667
2001,6,Alaska,5,3,0.6
2001,7,Alaska,5,4,0.8
2001,8,Alaska,5,4,0.8
2001,9,Alaska,13,9,0.6923076923
2001,10,Alaska,4,2,0.5
2001,11,Alaska,12,8,0.6666666667
2001,12,Alaska,13,6,0.4615384615
2002,1,Alaska,10,9,0.9
2002,2,Alaska,14,10,0.7142857143
2002,3,Alaska,13,10,0.7692307692
2002,4,Alaska,10,6,0.6
2002,5,Alaska,11,6,0.5454545455
2002,6,Alaska,11,8,0.7272727273
2002,7,Alaska,14,8,0.5714285714
2002,8,Alaska,13,11,0.8461538462
2002,9,Alaska,14,12,0.8571428571
2002,10,Alaska,6,3,0.5
2002,11,Alaska,7,3,0.4285714286
2002,12,Alaska,9,6,0.6666666667
2003,1,Alaska,10,7,0.7
2003,2,Alaska,15,7,0.4666666667
2003,3,Alaska,12,4,0.3333333333
2003,4,Alaska,9,3,0.3333333333
2003,5,Alaska,11,7,0.6363636364
2003,6,Alaska,16,13,0.8125
2003,7,Alaska,11,8,0.7272727273
2003,8,Alaska,3,2,0.6666666667
2003,9,Alaska,6,6,1
2003,10,Alaska,9,5,0.5555555556
2003,11,Alaska,10,9,0.9
2003,12,Alaska,12,8,0.6666666667
2004,1,Alaska,20,14,0.7
2004,2,Alaska,17,13,0.7647058824
2004,3,Alaska,11,6,0.5454545455
2004,4,Alaska,9,9,1
2004,5,Alaska,5,1,0.2
2004,6,Alaska,13,7,0.5384615385
2004,7,Alaska,8,4,0.5
2004,8,Alaska,14,9,0.6428571429
2004,9,Alaska,13,9,0.6923076923
2004,10,Alaska,20,9,0.45
2004,11,Alaska,11,5,0.4545454545
2004,12,Alaska,14,8,0.5714285714
2005,1,Alaska,5,2,0.4
2005,2,Alaska,8,7,0.875
2005,3,Alaska,13,10,0.7692307692
2005,4,Alaska,12,8,0.6666666667
2005,5,Alaska,9,6,0.6666666667
2005,6,Alaska,12,6,0.5
2005,7,Alaska,13,8,0.6153846154
2005,8,Alaska,10,4,0.4
2005,9,Alaska,11,8,0.7272727273
2005,10,Alaska,14,10,0.7142857143
2005,11,Alaska,13,11,0.8461538462
2005,12,Alaska,11,7,0.6363636364
2006,1,Alaska,8,7,0.875
2006,2,Alaska,13,7,0.5384615385
2006,3,Alaska,15,8,0.5333333333
2006,4,Alaska,15,8,0.5333333333
2006,5,Alaska,11,7,0.6363636364
2006,6,Alaska,14,9,0.6428571429
2006,7,Alaska,15,7,0.4666666667
2006,8,Alaska,8,4,0.5
2006,9,Alaska,5,2,0.4
2006,10,Alaska,12,8,0.6666666667
2006,11,Alaska,10,6,0.6
2006,12,Alaska,9,6,0.6666666667
2007,1,Alaska,12,10,0.8333333333
2007,2,Alaska,8,5,0.625
2007,3,Alaska,18,11,0.6111111111
2007,4,Alaska,19,16,0.8421052632
2007,5,Alaska,10,4,0.4
2007,6,Alaska,14,9,0.6428571429
2007,7,Alaska,14,7,0.5
2007,8,Alaska,14,8,0.5714285714
2007,9,Alaska,16,8,0.5
2007,10,Alaska,6,3,0.5
2007,11,Alaska,7,6,0.8571428571
2007,12,Alaska,11,7,0.6363636364
2008,1,Alaska,11,8,0.7272727273
2008,2,Alaska,17,8,0.4705882353
2008,3,Alaska,17,12,0.7058823529
2008,4,Alaska,19,16,0.8421052632
2008,5,Alaska,11,6,0.5454545455
2008,6,Alaska,16,9,0.5625
