Year,Month,Day,USA
2001,7,28,"21,094"
2001,7,29,"6,696"
2001,7,30,"19,946"
2001,7,31,"20,213"
2001,8,1,"22,186"
2001,8,2,"23,245"
2001,8,3,"27,607"
2001,8,4,"24,673"
2001,8,5,"7,613"
2001,8,6,"21,017"
2001,8,7,"22,082"
2001,8,8,"21,038"
2001,8,9,"21,967"
2001,8,10,"26,737"
2001,8,11,"24,717"
2001,8,12,"8,532"
2001,8,13,"23,189"
2001,8,14,"21,722"
2001,8,15,"22,413"
2001,8,16,"24,102"
2001,8,17,"28,251"
2001,8,18,"27,080"
2001,8,19,"10,027"
2001,8,20,"23,290"
2001,8,21,"22,416"
2001,8,22,"22,455"
2001,8,23,"23,167"
2001,8,24,"30,804"
2001,8,25,"28,101"
2001,8,26,"9,970"
2001,8,27,"25,138"
2001,8,28,"24,003"
2001,8,29,"23,499"
2001,8,30,"26,272"
2001,8,31,"39,975"
2001,9,1,"29,931"
2001,9,2,"9,515"
2001,9,3,"9,168"
2001,9,4,"28,113"
2001,9,5,"24,940"
2001,9,6,"26,279"
2001,9,7,"32,821"
2001,9,8,"31,052"
2001,9,9,"10,556"
2001,9,10,"26,446"
2001,9,11,"31,838"
2001,9,12,"28,272"
2001,9,13,"31,512"
2001,9,14,"40,336"
2001,9,15,"40,380"
2001,9,16,"15,070"
2001,9,17,"32,078"
2001,9,18,"31,864"
2001,9,19,"29,787"
2001,9,20,"34,759"
2001,9,21,"42,143"
2001,9,22,"41,038"
2001,9,23,"14,535"
2001,9,24,"31,902"
2001,9,25,"32,177"
2001,9,26,"31,068"
2001,9,27,"31,954"
2001,9,28,"42,660"
2001,9,29,"38,381"
2001,9,30,"13,463"
2001,10,1,"33,922"
2001,10,2,"32,441"
2001,10,3,"34,544"
2001,10,4,"34,779"
2001,10,5,"43,479"
2001,10,6,"42,423"
2001,10,7,"16,500"
2001,10,8,"28,222"
2001,10,9,"35,515"
2001,10,10,"34,468"
2001,10,11,"36,785"
2001,10,12,"47,513"
2001,10,13,"43,881"
2001,10,14,"15,940"
2001,10,15,"34,005"
2001,10,16,"34,064"
2001,10,17,"32,294"
2001,10,18,"34,830"
2001,10,19,"38,262"
2001,10,20,"41,150"
2001,10,21,"14,405"
2001,10,22,"32,022"
2001,10,23,"32,398"
2001,10,24,"31,291"
2001,10,25,"34,424"
2001,10,26,"42,611"
2001,10,27,"38,945"
2001,10,28,"14,273"
2001,10,29,"30,327"
2001,10,30,"32,860"
2001,10,31,"31,118"
2001,11,1,"38,994"
2001,11,2,"49,270"
